axis,value,candidate_pairs,candidate_recall,candidate_precision,session_precision,session_recall,session_f1,attack_seconds
containment,0.62,493884,1.0,0.012148601695944797,0.9663865546218487,0.9966666666666667,0.981293075155891,7.2928796229998625
containment,0.7,493884,1.0,0.012148601695944797,0.9703853272757866,0.9611666666666666,0.9657539981579167,7.017254223000236
jaccard,0.16,493884,1.0,0.012148601695944797,0.9875219341002145,0.8441666666666666,0.9102345224189056,6.336850028999834
pair_budget,100,178824,1.0,0.03355254328278084,0.9875219341002145,0.8441666666666666,0.9102345224189056,4.636407996000344
containment,0.78,493884,1.0,0.012148601695944797,0.9875219341002145,0.8441666666666666,0.9102345224189056,6.386964750999141
pair_budget,800,544091,1.0,0.011027567079771582,0.9875219341002145,0.8441666666666666,0.9102345224189056,6.686226809999425
jaccard,0.24,493884,1.0,0.012148601695944797,0.9875219341002145,0.8441666666666666,0.9102345224189056,6.390423154999553
containment,0.86,493884,1.0,0.012148601695944797,1.0,0.632,0.7745098039215685,5.770893419999993
containment,0.94,493884,1.0,0.012148601695944797,1.0,0.401,0.5724482512491078,5.42885346499952
