method,level,unit_level,iterations,observed_precision,observed_recall,observed_f1,precision_mean,precision_ci_low,precision_ci_high,recall_mean,recall_ci_low,recall_ci_high,f1_mean,f1_ci_low,f1_ci_high,units,requests
provider_lowcost,session,session,200,0.7894736842105263,1.0,0.8823529411764706,0.8122323148603754,0.6518952062430323,0.9493670886075949,1.0,1.0,1.0,0.8940714462407752,0.7892680921052632,0.974025974025974,100,400
provider_lowcost,project,session,200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,400
provider_lowcost,org,session,200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,400
random,session,session,200,0.009473684210526316,0.06,0.016363636363636365,0.009471956594241226,0.006652245919358795,0.0120936644263472,0.059333333333333335,0.041666666666666664,0.07666666666666666,0.016335516858716915,0.011471230127946545,0.02089174979707993,100,400
random,project,session,200,0.007894736842105263,0.045180722891566265,0.013440860215053764,0.008073934550495975,0.00526975090779516,0.011008962431639374,0.045761623097816326,0.03163049450549451,0.06077264666141201,0.01371395373969498,0.008971643703276792,0.018595296973649648,100,400
random,org,session,200,0.008421052631578947,0.04597701149425287,0.014234875444839857,0.008465582407720412,0.006002836143251764,0.011200149413020277,0.04615016019995733,0.03359041002720559,0.061668209876543215,0.014294007050354487,0.010263132668711655,0.01877252799559085,100,400
oracle_size_random,session,session,200,0.011666666666666667,0.011666666666666667,0.011666666666666667,0.012179179838778711,0.004941933598980693,0.02026862259477996,0.011975,0.005,0.02,0.01207175511352783,0.0049707969022719,0.01995984614734351,100,400
oracle_size_random,project,session,200,0.007530120481927711,0.007530120481927711,0.007530120481927711,0.007628484341074021,0.001613582701627936,0.01495867495707479,0.00763038047135839,0.0015813017659009221,0.01506953740889484,0.007615909707263273,0.001578070226202892,0.014938339192070535,100,400
oracle_size_random,org,session,200,0.007183908045977011,0.007183908045977011,0.007183908045977011,0.0073934482874241534,0.0015939041722785687,0.013315202062514759,0.007352724858482682,0.001542280232039268,0.014288905435591968,0.007353703297908703,0.0015487125571240364,0.01346517727150518,100,400
