scope,method,alpha_dense,sparse_floor,threshold,precision,recall,f1,f1_ci_low,f1_ci_high,purity,split_rate,merge_rate,clusters,candidates,sessions,projects,embedding_seconds,tfidf_vocabulary
calibration_project_disjoint,dense_only,1.0,0.0,0.86,1.0,0.015384615384615385,0.030303030303030307,,,1.0,0.26875,0.0,234,4184,236,160,41.48011559799852,40000
calibration_project_disjoint,structured_tfidf_only,0.0,0.0,0.46,0.9666666666666667,0.4461538461538462,0.6105263157894737,,,0.9957627118644068,0.15,0.005208333333333333,192,3885,236,160,41.48011559799852,40000
calibration_project_disjoint,carp_content_project,0.25,0.2,0.44,0.9743589743589743,0.5846153846153846,0.7307692307692307,,,0.9957627118644068,0.1375,0.005376344086021506,186,182,236,160,41.48011559799852,40000
calibration_project_disjoint,carp_content_project,0.25,0.3,0.44,0.9743589743589743,0.5846153846153846,0.7307692307692307,,,0.9957627118644068,0.1375,0.005376344086021506,186,108,236,160,41.48011559799852,40000
calibration_project_disjoint,carp_content_project,0.25,0.4,0.44,0.9710144927536232,0.5153846153846153,0.6733668341708543,,,0.9957627118644068,0.14375,0.005319148936170213,188,73,236,160,41.48011559799852,40000
calibration_project_disjoint,carp_content_project,0.5,0.2,0.44,0.9702970297029703,0.7538461538461538,0.8484848484848484,,,0.9915254237288136,0.1,0.011428571428571429,175,181,236,160,41.48011559799852,40000
calibration_project_disjoint,carp_content_project,0.5,0.3,0.44,0.9666666666666667,0.6692307692307692,0.7909090909090909,,,0.9915254237288136,0.125,0.0111731843575419,179,108,236,160,41.48011559799852,40000
calibration_project_disjoint,carp_content_project,0.5,0.4,0.48,0.9705882352941176,0.5076923076923077,0.6666666666666666,,,0.9957627118644068,0.15,0.005291005291005291,189,73,236,160,41.48011559799852,40000
calibration_project_disjoint,carp_content_project,0.75,0.2,0.52,0.9693877551020408,0.7307692307692307,0.8333333333333333,,,0.9915254237288136,0.10625,0.011299435028248588,177,166,236,160,41.48011559799852,40000
calibration_project_disjoint,carp_content_project,0.75,0.3,0.46,0.9595959595959596,0.7307692307692307,0.8296943231441049,,,0.9872881355932204,0.10625,0.017241379310344827,174,102,236,160,41.48011559799852,40000
calibration_project_disjoint,carp_content_project,0.75,0.4,0.44,0.9714285714285714,0.5230769230769231,0.68,,,0.9957627118644068,0.14375,0.005319148936170213,188,71,236,160,41.48011559799852,40000
held_out_unseen_projects,strict_direct_anchor,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29227557411273486,0.0,764,0,764,479,41.48011559799852,40000
held_out_unseen_projects,dense_only,1.0,0.0,0.86,0.9655172413793104,0.03617571059431524,0.0697384806973848,0.01215987526910358,0.16946456838328394,0.9986910994764397,0.29018789144050106,0.0013386880856760374,747,14104,764,479,41.48011559799852,40000
held_out_unseen_projects,structured_tfidf_only,0.0,0.0,0.46,1.0,0.2041343669250646,0.3390557939914163,0.25405863442588583,0.4328118225177049,1.0,0.22338204592901878,0.0,670,12837,764,479,41.48011559799852,40000
held_out_unseen_projects,carp_content_project,0.5,0.2,0.44,0.7951807228915663,0.5968992248062015,0.681918819188192,0.5784443102754299,0.771876775109734,0.9554973821989529,0.1315240083507307,0.03308823529411765,544,992,764,479,41.48011559799852,40000
