variant,containment_threshold,jaccard_threshold,max_pairs_per_request,candidate_pairs,linked_pairs,feature_seconds,attack_seconds,requests,session_f1,session_precision,session_recall,project_f1,org_f1,true_session_pairs_retained,truth_session_pairs,candidate_recall,candidate_precision
provider_lowcost_default,,,,,,107.05905970799995,70.3479187769999,4000,0.9689922480620156,0.9398496240601504,1.0,0.9964939618231399,0.9872773536895675,,,,
context_sweep,0.62,0.2,400,493884,5938,107.05905970799995,7.2928796229998625,4000,0.981293075155891,0.9663865546218487,0.9966666666666667,,,6000,6000,1.0,0.012148601695944797
context_sweep,0.7,0.2,400,493884,5366,107.05905970799995,7.017254223000236,4000,0.9657539981579167,0.9703853272757866,0.9611666666666666,,,6000,6000,1.0,0.012148601695944797
context_sweep,0.78,0.16,400,493884,4331,107.05905970799995,6.336850028999834,4000,0.9102345224189056,0.9875219341002145,0.8441666666666666,,,6000,6000,1.0,0.012148601695944797
context_sweep,0.78,0.2,100,178824,4329,107.05905970799995,4.636407996000344,4000,0.9102345224189056,0.9875219341002145,0.8441666666666666,,,6000,6000,1.0,0.03355254328278084
context_sweep,0.78,0.2,400,493884,4331,107.05905970799995,6.386964750999141,4000,0.9102345224189056,0.9875219341002145,0.8441666666666666,,,6000,6000,1.0,0.012148601695944797
context_sweep,0.78,0.2,800,544091,4331,107.05905970799995,6.686226809999425,4000,0.9102345224189056,0.9875219341002145,0.8441666666666666,,,6000,6000,1.0,0.011027567079771582
context_sweep,0.78,0.24,400,493884,4331,107.05905970799995,6.390423154999553,4000,0.9102345224189056,0.9875219341002145,0.8441666666666666,,,6000,6000,1.0,0.012148601695944797
context_sweep,0.86,0.2,400,493884,3106,107.05905970799995,5.770893419999993,4000,0.7745098039215685,1.0,0.632,,,6000,6000,1.0,0.012148601695944797
context_sweep,0.94,0.2,400,493884,1974,107.05905970799995,5.42885346499952,4000,0.5724482512491078,1.0,0.401,,,6000,6000,1.0,0.012148601695944797
