variant,containment_threshold,jaccard_threshold,max_pairs_per_request,candidate_pairs,linked_pairs,feature_seconds,attack_seconds,requests,session_f1,session_precision,session_recall,project_f1,org_f1
provider_lowcost_default,,,,,,10.479169483998703,8.451511629999004,400,0.8823529411764706,0.7894736842105263,1.0,1.0,1.0
context_sweep,0.6,0.12,100,16476,597,10.479169483998703,4.001141275999544,400,1.0,1.0,1.0,,
context_sweep,0.6,0.12,400,26199,597,10.479169483998703,4.317168325997045,400,1.0,1.0,1.0,,
context_sweep,0.6,0.12,800,26199,597,10.479169483998703,4.389703120999911,400,1.0,1.0,1.0,,
context_sweep,0.6,0.2,100,16476,597,10.479169483998703,3.912960978999763,400,1.0,1.0,1.0,,
context_sweep,0.6,0.2,400,26199,597,10.479169483998703,4.398584132002725,400,1.0,1.0,1.0,,
context_sweep,0.6,0.2,800,26199,597,10.479169483998703,4.15257217999897,400,1.0,1.0,1.0,,
context_sweep,0.6,0.28,100,16476,597,10.479169483998703,3.7287215900032606,400,1.0,1.0,1.0,,
context_sweep,0.6,0.28,400,26199,597,10.479169483998703,4.447300436997466,400,1.0,1.0,1.0,,
context_sweep,0.6,0.28,800,26199,597,10.479169483998703,4.343698377000692,400,1.0,1.0,1.0,,
context_sweep,0.7,0.12,100,16476,522,10.479169483998703,3.388871406998078,400,0.9778534923339013,1.0,0.9566666666666667,,
context_sweep,0.7,0.12,400,26199,522,10.479169483998703,5.448988930998894,400,0.9778534923339013,1.0,0.9566666666666667,,
context_sweep,0.7,0.12,800,26199,522,10.479169483998703,4.55106586400143,400,0.9778534923339013,1.0,0.9566666666666667,,
context_sweep,0.7,0.2,100,16476,522,10.479169483998703,3.655547400001524,400,0.9778534923339013,1.0,0.9566666666666667,,
context_sweep,0.7,0.2,400,26199,522,10.479169483998703,5.044392372998118,400,0.9778534923339013,1.0,0.9566666666666667,,
context_sweep,0.7,0.2,800,26199,522,10.479169483998703,4.226597811000829,400,0.9778534923339013,1.0,0.9566666666666667,,
context_sweep,0.7,0.28,100,16476,522,10.479169483998703,4.947446438996849,400,0.9778534923339013,1.0,0.9566666666666667,,
context_sweep,0.7,0.28,400,26199,522,10.479169483998703,5.061988442001166,400,0.9778534923339013,1.0,0.9566666666666667,,
context_sweep,0.7,0.28,800,26199,522,10.479169483998703,5.03316639699915,400,0.9778534923339013,1.0,0.9566666666666667,,
context_sweep,0.78,0.12,100,16476,424,10.479169483998703,4.102287880999938,400,0.9031078610603291,1.0,0.8233333333333334,,
context_sweep,0.78,0.12,400,26199,424,10.479169483998703,4.640094324997335,400,0.9031078610603291,1.0,0.8233333333333334,,
context_sweep,0.78,0.12,800,26199,424,10.479169483998703,4.948601307998615,400,0.9031078610603291,1.0,0.8233333333333334,,
context_sweep,0.78,0.2,100,16476,424,10.479169483998703,4.019353019000846,400,0.9031078610603291,1.0,0.8233333333333334,,
context_sweep,0.78,0.2,400,26199,424,10.479169483998703,4.284076305000781,400,0.9031078610603291,1.0,0.8233333333333334,,
context_sweep,0.78,0.2,800,26199,424,10.479169483998703,4.14408592700056,400,0.9031078610603291,1.0,0.8233333333333334,,
context_sweep,0.78,0.28,100,16476,424,10.479169483998703,3.8776205649992335,400,0.9031078610603291,1.0,0.8233333333333334,,
context_sweep,0.78,0.28,400,26199,424,10.479169483998703,4.234981538000284,400,0.9031078610603291,1.0,0.8233333333333334,,
context_sweep,0.78,0.28,800,26199,424,10.479169483998703,4.214791333000903,400,0.9031078610603291,1.0,0.8233333333333334,,
context_sweep,0.86,0.12,100,16476,313,10.479169483998703,3.689138453999476,400,0.7654320987654321,1.0,0.62,,
context_sweep,0.86,0.12,400,26199,313,10.479169483998703,4.147628162998444,400,0.7654320987654321,1.0,0.62,,
context_sweep,0.86,0.12,800,26199,313,10.479169483998703,4.047581003000232,400,0.7654320987654321,1.0,0.62,,
context_sweep,0.86,0.2,100,16476,313,10.479169483998703,3.7866774429967336,400,0.7654320987654321,1.0,0.62,,
context_sweep,0.86,0.2,400,26199,313,10.479169483998703,4.080755974999192,400,0.7654320987654321,1.0,0.62,,
context_sweep,0.86,0.2,800,26199,313,10.479169483998703,4.04126532599912,400,0.7654320987654321,1.0,0.62,,
context_sweep,0.86,0.28,100,16476,313,10.479169483998703,3.787967230000504,400,0.7654320987654321,1.0,0.62,,
context_sweep,0.86,0.28,400,26199,313,10.479169483998703,4.528491414999735,400,0.7654320987654321,1.0,0.62,,
context_sweep,0.86,0.28,800,26199,313,10.479169483998703,4.033482993996586,400,0.7654320987654321,1.0,0.62,,
