overlay_level,snapshot,method,profile_level,field,precision,recall,f1,tp,fp,fn,evaluated_clusters
U3,first_4000_requests,provider_lowcost,org,build_tools,0.4594594594594595,0.875,0.6025316455696202,238,280,34,119
U3,first_4000_requests,provider_lowcost,org,home_aliases,0.0,0.0,0.0,0,273,0,119
U3,first_4000_requests,provider_lowcost,org,internal_domains,0.6464088397790055,0.7069486404833837,0.6753246753246753,234,128,97,119
U3,first_4000_requests,provider_lowcost,org,languages,0.3733826247689464,0.7426470588235294,0.4969249692496925,202,339,70,119
U3,first_4000_requests,provider_lowcost,org,org_aliases,1.0,1.0,1.0,119,0,0,119
U3,first_4000_requests,provider_lowcost,org,package_managers,0.3803680981595092,0.9763779527559056,0.5474613686534217,248,404,6,119
U3,first_4000_requests,provider_lowcost,org,project_aliases,0.0,0.0,0.0,0,371,0,119
U3,first_4000_requests,provider_lowcost,org,service_names,0.9914529914529915,0.7073170731707317,0.8256227758007118,232,2,96,119
U3,first_4000_requests,provider_lowcost,org,__micro__,0.41465798045602603,0.807741116751269,0.5479982780886784,1273,1797,303,119
U3,first_4000_requests,provider_lowcost,project,build_tools,0.2893772893772894,0.8525179856115108,0.43208751139471285,237,582,41,278
U3,first_4000_requests,provider_lowcost,project,home_aliases,0.0,0.0,0.0,0,341,0,278
U3,first_4000_requests,provider_lowcost,project,internal_domains,0.6434540389972145,0.8309352517985612,0.7252747252747254,231,128,47,278
U3,first_4000_requests,provider_lowcost,project,languages,0.16685584562996594,0.5287769784172662,0.25366695427092323,147,734,131,278
U3,first_4000_requests,provider_lowcost,project,org_aliases,0.0,0.0,0.0,0,278,0,278
U3,first_4000_requests,provider_lowcost,project,package_managers,0.2021978021978022,0.9928057553956835,0.3359707851491175,276,1089,2,278
U3,first_4000_requests,provider_lowcost,project,project_aliases,0.8104956268221575,1.0,0.895330112721417,278,65,0,278
U3,first_4000_requests,provider_lowcost,project,service_names,0.9914163090128756,0.8309352517985612,0.9041095890410961,231,2,47,278
U3,first_4000_requests,provider_lowcost,project,__micro__,0.30309590820523924,0.8393285371702638,0.4453634483855575,1400,3219,268,278
U3,first_4000_requests,provider_lowcost,user,build_tools,0.6978260869565217,0.5404040404040404,0.6091081593927893,321,139,273,198
U3,first_4000_requests,provider_lowcost,user,home_aliases,0.9514563106796117,0.98989898989899,0.9702970297029703,196,10,2,198
U3,first_4000_requests,provider_lowcost,user,internal_domains,0.0,0.0,0.0,0,233,0,198
U3,first_4000_requests,provider_lowcost,user,languages,0.0,0.0,0.0,0,552,0,198
U3,first_4000_requests,provider_lowcost,user,org_aliases,0.0,0.0,0.0,0,203,0,198
U3,first_4000_requests,provider_lowcost,user,package_managers,0.0,0.0,0.0,0,976,0,198
U3,first_4000_requests,provider_lowcost,user,project_aliases,0.0,0.0,0.0,0,318,0,198
U3,first_4000_requests,provider_lowcost,user,service_names,0.0,0.0,0.0,0,185,0,198
U3,first_4000_requests,provider_lowcost,user,__micro__,0.16501755505904883,0.6527777777777778,0.2634394904458599,517,2616,275,198
U4,first_4000_requests,provider_lowcost,org,build_tools,0.4746192893401015,0.9166666666666666,0.6254180602006689,187,207,17,90
U4,first_4000_requests,provider_lowcost,org,home_aliases,0.0,0.0,0.0,0,195,0,90
U4,first_4000_requests,provider_lowcost,org,internal_domains,0.5266457680250783,0.7272727272727273,0.610909090909091,168,151,63,90
U4,first_4000_requests,provider_lowcost,org,languages,0.39828693790149894,0.9117647058823529,0.5543964232488823,186,281,18,90
U4,first_4000_requests,provider_lowcost,org,org_aliases,1.0,1.0,1.0,90,0,0,90
U4,first_4000_requests,provider_lowcost,org,package_managers,0.37373737373737376,0.9788359788359788,0.5409356725146199,185,310,4,90
U4,first_4000_requests,provider_lowcost,org,project_aliases,0.0,0.0,0.0,0,319,0,90
U4,first_4000_requests,provider_lowcost,org,service_names,0.9940119760479041,0.7280701754385965,0.8405063291139241,166,1,62,90
U4,first_4000_requests,provider_lowcost,org,__micro__,0.401471790678659,0.8568935427574171,0.546770601336303,982,1464,164,90
U4,first_4000_requests,provider_lowcost,project,build_tools,0.32854578096947934,0.8356164383561644,0.47164948453608246,183,374,36,219
U4,first_4000_requests,provider_lowcost,project,home_aliases,0.0,0.0,0.0,0,241,0,219
U4,first_4000_requests,provider_lowcost,project,internal_domains,0.5295950155763239,0.776255707762557,0.6296296296296295,170,151,49,219
U4,first_4000_requests,provider_lowcost,project,languages,0.1890909090909091,0.7123287671232876,0.2988505747126437,156,669,63,219
U4,first_4000_requests,provider_lowcost,project,org_aliases,0.0,0.0,0.0,0,219,0,219
U4,first_4000_requests,provider_lowcost,project,package_managers,0.21089108910891088,0.9726027397260274,0.34662327095199347,213,797,6,219
U4,first_4000_requests,provider_lowcost,project,project_aliases,0.6996805111821086,1.0,0.8233082706766918,219,94,0,219
U4,first_4000_requests,provider_lowcost,project,service_names,0.9941520467836257,0.776255707762557,0.8717948717948718,170,1,49,219
U4,first_4000_requests,provider_lowcost,project,__micro__,0.30380092972381734,0.845509893455099,0.44699255682961175,1111,2546,203,219
U4,first_4000_requests,provider_lowcost,user,build_tools,0.706766917293233,0.24867724867724866,0.36790606653620345,94,39,284,126
U4,first_4000_requests,provider_lowcost,user,home_aliases,0.9153846153846154,0.9444444444444444,0.9296874999999999,119,11,7,126
U4,first_4000_requests,provider_lowcost,user,internal_domains,0.0,0.0,0.0,0,65,0,126
U4,first_4000_requests,provider_lowcost,user,languages,0.0,0.0,0.0,0,328,0,126
U4,first_4000_requests,provider_lowcost,user,org_aliases,0.0,0.0,0.0,0,128,0,126
U4,first_4000_requests,provider_lowcost,user,package_managers,0.0,0.0,0.0,0,560,0,126
U4,first_4000_requests,provider_lowcost,user,project_aliases,0.0,0.0,0.0,0,198,0,126
U4,first_4000_requests,provider_lowcost,user,service_names,0.0,0.0,0.0,0,52,0,126
U4,first_4000_requests,provider_lowcost,user,__micro__,0.13362609786700125,0.4226190476190476,0.20305052430886558,213,1381,291,126
