snapshot,source_requests,sample_workflows,sample_requests,feature_ablation,session_f1,session_purity,project_f1,project_purity,org_f1,org_purity,reconstructed_workflows,workflow_purity,workflow_pairwise_order_accuracy,pure_ordered_clusters,ordered_pairs
first_1000,1000,86,1000,none,0.5274176979895319,0.675,1.0,1.0,1.0,1.0,57,0.8838345504531517,0.8440317966633757,47,3014
first_1000,1000,86,1000,no_shingles,0.0,1.0,1.0,1.0,1.0,1.0,1000,1.0,0.0,0,0
first_4000,4000,100,1200,none,0.41961471103327497,0.6591666666666667,1.0,1.0,1.0,1.0,66,0.905917788452035,0.8410927456382002,57,3751
first_4000,4000,100,1200,no_shingles,0.0,1.0,1.0,1.0,1.0,1.0,1200,1.0,0.0,0,0
first_8000,8000,100,1200,none,0.41961471103327497,0.6591666666666667,1.0,1.0,1.0,1.0,66,0.905917788452035,0.8410927456382002,57,3751
first_8000,8000,100,1200,no_shingles,0.0,1.0,1.0,1.0,1.0,1.0,1200,1.0,0.0,0,0
first_12000,12000,100,1200,none,0.41961471103327497,0.6591666666666667,1.0,1.0,1.0,1.0,66,0.905917788452035,0.8410927456382002,57,3751
first_12000,12000,100,1200,no_shingles,0.0,1.0,1.0,1.0,1.0,1.0,1200,1.0,0.0,0,0
