field,precision,recall,f1,tp,fp,fn,predicted_values,evidence_coverage
build_tools,0.937793427230047,0.9603365384615384,0.9489311163895487,799,53,33,852,1.0
ci_cd_systems,0.7636363636363637,0.49411764705882355,0.6000000000000001,42,13,43,55,1.0
frameworks,0.6374622356495468,0.6828478964401294,0.659375,211,120,98,331,1.0
languages,0.6930352536543423,0.4237644584647739,0.5259380097879282,806,357,1096,1163,1.0
package_managers,0.9812874251497006,0.6571428571428571,0.7871510057039927,1311,25,684,1336,1.0
repo_names,0.8367346938775511,0.5161290322580645,0.6384428223844283,656,128,615,784,1.0
service_names,0.021052631578947368,0.0015735641227380016,0.0029282576866764276,2,93,1269,95,1.0
__micro__,0.6762678918536844,0.49928245270711025,0.574452116481537,3827,1832,3838,5659,1.0
