label,evaluated_requests,all_pairs,candidate_pairs,candidate_pairs_per_request,candidate_reduction_factor,measured_total_seconds,seconds_per_1k_requests,extrapolated_cpu_hours_per_1m_requests,max_rss_mb,session_f1,user_f1,project_f1,org_f1
overlay_u3_provider_lowcost_12k_streamed_budgeted,12000,71994000,361997,30.166,198.88,290.559,24.213,6.726,1301.168,0.691,0.281,0.639,0.604
overlay_u4_provider_lowcost_12k_streamed_budgeted,12000,71994000,366211,30.518,196.592,233.238,19.436,5.399,1373.973,0.602,0.029,0.566,0.541
