method,level,unit_level,iterations,observed_precision,observed_recall,observed_f1,precision_mean,precision_ci_low,precision_ci_high,recall_mean,recall_ci_low,recall_ci_high,f1_mean,f1_ci_low,f1_ci_high,units,requests
provider_lowcost,session,session,100,0.7256223720216245,0.6589090909090909,0.6906584505923831,0.7243064755252733,0.6773176435106064,0.7683974395066117,0.6582448484848484,0.6481003787878787,0.6671882575757576,0.6895006319307554,0.6690227558245152,0.7103140319448995,1000,12000
provider_lowcost,user,session,100,0.9746547679508574,0.16417758440881242,0.28101847493733023,0.975950403406446,0.9548553402457786,0.9908634367249174,0.16484631635575572,0.1471343996202103,0.17705942180287876,0.2819599906951016,0.25584447092536033,0.2999326064300191,1000,12000
provider_lowcost,project,session,100,1.0,0.4695740254051686,0.6390614113851186,1.0,1.0,1.0,0.4684926611519712,0.45394628979669804,0.4872999984707409,0.6380082256418186,0.6244333054270759,0.655275635259813,1000,12000
provider_lowcost,org,session,100,1.0,0.4323439241917503,0.6036873084594055,1.0,1.0,1.0,0.43178265398785826,0.41771399085467875,0.4481631830637304,0.6030989604129704,0.5892781644744056,0.6189392258657865,1000,12000
